uuid,institutioncode,collectioncode,provider_lat,aggregator_lat,provider_lon,aggregator_lon,provider_country,aggregator_country,aggregator_stateprovince,aggregator_county,aggregator_locality
6b14ca0a-5a3c-4078-9629-385a0fbb0768,fmnh,mammals,-88.060564,41.843331,41.843331,-88.060564,USA,united states,illinois,dupage co.,"glen ellyn, willowbrook nature trail"
6ee726f3-18a8-402f-bdd1-5b8da939dfba,fmnh,mammals,-88.107013,41.86614,41.86614,-88.107013,USA,united states,illinois,dupage co.,wheaton
7204a2b2-512b-4431-a95b-c0ed166a0633,fmnh,mammals,29.75,24.833334,24.833334,29.75,Egypt,egypt,matruh,NA,"siwa oasis, el malfa swamp"
7437a46e-f784-4b2b-ba13-b98254b5255b,fmnh,mammals,29.75,24.833334,24.833334,29.75,Egypt,egypt,matruh,NA,"el malfa, siwa, 110 km w"
763c9b19-74a7-43a3-9a5b-4684fef8a585,fmnh,mammals,-88.174751,41.766727,41.766727,-88.174751,USA,united states,illinois,dupage co.,"naperville, river and aurora"
79ff24fc-5a16-4adc-8270-a4576176666c,fmnh,mammals,-88.058356,41.871205,41.871205,-88.058356,USA,united states,illinois,dupage co.,"glen ellyn, montclaire and turner"
7e51a7c1-de80-4e19-82e8-231cbd440fb7,fmnh,mammals,-88.107013,41.86614,41.86614,-88.107013,USA,united states,illinois,dupage co.,wheaton
7e8abc27-d38a-47a6-937b-978822afc72f,fmnh,mammals,-87.73599,41.79169,41.79169,-87.73599,USA,united states,illinois,cook co.,"chicago, 5555 s. kolmar ave"
7f5970d1-b69b-4255-a780-aed284ba1ac8,fmnh,mammals,-89.4903273,45.5977178,45.5977178,-89.4903273,USA,united states,wisconsin,NA,"oneida, sec 29, town 36 n, range 8e"
7fdb9011-93c3-4d11-a6c2-96e3a4764d19,fmnh,mammals,31.3999996,24.8666706,24.8666706,31.3999996,Egypt,egypt,matruh,NA,"salum, sidi omar"
